Customer ID,Inv_Count,No_of_Months_Transac,Unique MMYY,Country,Total_Qty,Number_of_Item_Types,Total_Spending,Max_Item_UnitPrice,Min_Item_UnitPrice,Median_Item_UnitPrice,Last_Purchase_Date,First_Purchase_Date,Avg_Transaction_Per_Mth,Avg_Spending_Per_Mth,Ratio_Transaction_Per_Unique_Mth,Ratio_Spending_Per_Unique_Mth,Avg_Spending_Per_Inv,Avg_Purchase_Qty_Per_Inv,Avg_Item_Types_Per_Inv,Recency,Frequency,Monetary,Tenure,Recency_Score,Frequency_Score,Monetary_Score,Tenure_Score,RFM_Score,Customer_Country_Belgium,Customer_Country_France,Customer_Country_Germany,Customer_Country_Italy,Customer_Country_Netherlands,Customer_Country_Other Countries,Customer_Country_Portugal,Customer_Country_Spain,Customer_Country_Sweden,Customer_Country_Switzerland,Customer_Country_United Kingdom
12346.0,12,5,['Dec 09' 'Jan 10' 'Mar 10' 'Jun 10' 'Jan 11'],United Kingdom,74285,26,77556.46,7.49,1.0,7.49,2011-01-18,2009-12-14,0.48,3102.2584,2.4,15511.292000000001,6463.038333333334,6190.416666666667,2.1666666666666665,326,12,77556.46,726,2,5,5,5,255,0,0,0,0,0,0,0,0,0,0,1
12347.0,8,8,['Oct 10' 'Dec 10' 'Jan 11' 'Apr 11' 'Jun 11' 'Aug 11' 'Oct 11' 'Dec 11'],Iceland,2967,126,4921.529999999996,12.75,0.25,1.95,2011-12-07,2010-10-31,0.32,196.86119999999985,1.0,615.1912499999995,615.1912499999995,370.875,15.75,3,8,4921.529999999996,405,5,4,5,2,545,0,0,0,0,0,1,0,0,0,0,0
12348.0,5,5,['Sep 10' 'Dec 10' 'Jan 11' 'Apr 11' 'Sep 11'],Finland,2714,28,2019.4,40.0,0.29,0.55,2011-09-25,2010-09-27,0.2,80.77600000000001,1.0,403.88,403.88,542.8,5.6,76,5,2019.4,439,3,4,4,3,344,0,0,0,0,0,1,0,0,0,0,0
12349.0,4,4,['Apr 10' 'May 10' 'Oct 10' 'Nov 11'],Italy,1624,145,4428.690000000002,300.0,0.42,2.55,2011-11-21,2010-04-29,0.16,177.1476000000001,1.0,1107.1725000000006,1107.1725000000006,406.0,36.25,19,4,4428.690000000002,590,5,3,5,3,535,0,0,0,1,0,0,0,0,0,0,0
12350.0,1,1,['Feb 11'],Norway,197,17,334.40000000000003,40.0,0.85,1.65,2011-02-02,2011-02-02,0.04,13.376000000000001,1.0,334.40000000000003,334.40000000000003,197.0,17.0,311,1,334.40000000000003,311,2,1,2,2,212,0,0,0,0,0,1,0,0,0,0,0
12351.0,1,1,['Nov 10'],Unspecified,261,21,300.93,12.75,0.42,1.69,2010-11-29,2010-11-29,0.04,12.0372,1.0,300.93,300.93,261.0,21.0,376,1,300.93,376,2,1,2,2,212,0,0,0,0,0,1,0,0,0,0,0
12352.0,10,5,['Nov 10' 'Feb 11' 'Mar 11' 'Sep 11' 'Nov 11'],Norway,724,70,2849.8400000000015,376.5,0.65,3.75,2011-11-03,2010-11-12,0.4,113.99360000000006,2.0,569.9680000000003,284.98400000000015,72.4,7.0,37,10,2849.8400000000015,393,4,5,4,2,454,0,0,0,0,0,1,0,0,0,0,0
12353.0,2,2,['Oct 10' 'May 11'],Bahrain,212,23,406.76,9.95,0.42,1.65,2011-05-19,2010-10-27,0.08,16.2704,1.0,203.38,203.38,106.0,11.5,205,2,406.76,409,2,2,2,2,222,0,0,0,0,0,1,0,0,0,0,0
12354.0,1,1,['Apr 11'],Spain,530,58,1079.4,16.95,0.42,2.95,2011-04-21,2011-04-21,0.04,43.176,1.0,1079.4,1079.4,530.0,58.0,233,1,1079.4,233,2,1,3,1,213,0,0,0,0,0,0,0,1,0,0,0
12355.0,2,2,['May 10' 'May 11'],Bahrain,543,35,947.61,12.75,0.42,1.65,2011-05-09,2010-05-21,0.08,37.9044,1.0,473.805,473.805,271.5,17.5,215,2,947.61,568,2,2,3,3,223,0,0,0,0,0,1,0,0,0,0,0
